name,city,iata_code,icao,latitude,longitude,url,city_code,country,state,county
Taltheilei Narrows,,GSL,CFA7,62.598879,-111.5390293,,GSL,CA,,
Dayrestan Airport,Bandar-e Khamir,GSM,OIKQ,26.753171950000002,55.89917705614705,,GSM,IR,Hormozgan,
Mount Gunson,,GSN,YMGN,-31.666668,137.76666,,GSN,AU,,
Piedmont Triad International Airport,Oak Ridge,GSO,KGSO,36.1031477,-79.94356850477837,,GSO,US,North Carolina,Guilford County
Greenville-Spartanburg International Airport,Greer,GSP,KGSP,34.8954456,-82.21722845651891,,GSP,US,South Carolina,Greenville County
Shark Elowainat,,GSQ,HEOW,22.583332,28.716667,,GSQ,EG,,
Gardo,,GSR,HCMG,9.5,49.05,,GSR,SO,,
Sabi Sabi,Graksop,GSS,FASE,-25.116667,30.8,,GSS,ZA,Mpumalanga,Ehlanzeni District
Gustavus Airport,,GST,PAGS,58.423770649999994,-135.70631132484405,,GST,US,,
Gedaref,Al Qadarif,GSU,HSGF,14.033333,35.466667,,GSU,SD,Al Qadarif,
Saratov Gagarin Airport,Shumeyka,GSV,,51.716667,46.166667,,RTW,RU,Saratov,
Binbrook,Grimsby,GSY,,53.583332,-0.083333,,GSY,GB,England,North East Lincolnshire
Gatokae Aerodrom,,GTA,AGOK,-8.766667,158.18333,,GTA,SB,,
Genting,,GTB,,2.116667,111.7,,GTB,MY,,
Green Turtle,Hard Bargain,GTC,,26.25,-77.36667,,GTC,BS,Moore's Island,
Alyangula Airport,,GTE,YGTE,-13.973887,136.46002,,GTE,AU,,
Great Falls International Airport,Great Falls,GTF,KGTF,47.4800263,-111.37557897482165,,GTF,US,Montana,Cascade County
Municipal,Grantsburg,GTG,KGTG,45.783333,-92.683334,http://www.grantsburgwi.com/airport.html,GTG,US,Wisconsin,Burnett County
Guettin,Ostseebad Dierhagen,GTI,EDCG,54.38333,12.316667,,GTI,DE,Mecklenburg-Vorpommern,
Sungei Tekai,Segamat,GTK,,2.6,102.916664,,GTK,MY,Johor,
